strain	location	date
OL423649|ZIKV|Asian|Brazil_Goias_Jatai|2016-04-29	Brazil_Goias_Jatai	2016-04-29
OL423648|ZIKV|Asian|Brazil_Goias_Goiania|2016-05-01	Brazil_Goias_Goiania	2016-05-01
OL423651|ZIKV|Asian|Brazil_Goias_Goianira|SolardasPaineiras|2016-07-20	Brazil_Goias_Goianira	2016-07-20
OL423652|ZIKV|Asian|Brazil_Goias_Goiania|2016-03-31	Brazil_Goias_Goiania	2016-03-31
OL423654|ZIKV|Asian|Brazil_Goias_Goiania|2016-04-25	Brazil_Goias_Goiania	2016-04-25
OL423656|ZIKV|Asian|Brazil_Goias_Inhumas|2017-06-01	Brazil_Goias_Inhumas	2017-06-01
OL423658|ZIKV|Asian|Brazil_Goias_AparecidadeGoiania|TerraPrometida|2017-11-23	Brazil_Goias_AparecidadeGoiania|TerraPrometida	2017-11-23
OL423657|ZIKV|Asian|Brazil_Goias_AparecidadeGoiania|PontalSul2|2017-06-30	Brazil_Goias_AparecidadeGoiania|PontalSul2	2017-06-30
OL423661|ZIKV|Asian|Brazil_Goias_Goiania|2017-01-20	Brazil_Goias_Goiania	2017-01-20
OL423664|ZIKV|Asian|Brazil_Goias_Goiania|JardimPompeia|2017-03-08	Brazil_Goias_Goiania|JardimPompeia	2017-03-08
OL423663|ZIKV|Asian|Brazil_Goias_AparecidadeGoiania|NovaOlinda|2018-04-18	Brazil_Goias_AparecidadeGoiania|NovaOlinda	2018-04-18
BH02|ZIKV|Brazil_Minas_Gerais_Matozinhos|2016-04-05	Brazil_Minas_Gerais_Matozinhos	2016-04-05
BH05|ZIKV|Brazil_Minas_Gerais_Belo_Horizonte|2016-04-06	Brazil_Minas_Gerais_Belo_Horizonte	2016-04-06
BH07|ZIKV|Brazil_Minas_Gerais_Santa_Luzia|2016-04-20	Brazil_Minas_Gerais_Santa_Luzia	2016-04-20
BH16|ZIKV|Brazil_Minas_Gerais_Betim|2016-03-18	Brazil_Minas_Gerais_Betim	2016-03-18
BH19|ZIKV|Brazil_Minas_Gerais_Montes_Claros|2016-04-06	Brazil_Minas_Gerais_Montes_Claros	2016-04-06
BH06|ZIKV|Brazil_Minas_Gerais_Belo_Horizonte|2016-04-12	Brazil_Minas_Gerais_Belo_Horizonte	2016-04-12
MK216692|Brazil_Amazonas_Manaus|Amazonino_Mendes|2016-04-01	Brazil_Amazonas_Manaus|Amazonino_Mendes	2016-04-01
MK829154.1_ZIKV|Human|Angola|2017|PoHuZV634959_microcephaly|Angola|2017-10-26	Angola	2017-10-26
MK829153|ZIKV|Human|Angola|2017|P151|Angola|2017-06-01	Angola	2017-06-01
MK216693|Brazil_Amazonas_Manaus|Coroado|2016-04-06	Brazil_Manaus_Amazonas_State	2016-04-06
MK216694|Brazil_Amazonas_Manaus|Educandos|2016-04-05	Brazil_Manaus_Amazonas_State	2016-04-05
MK216695|Brazil_Amazonas_Manaus|Cidade_Nova|2016-04-05	Brazil_Manaus_Amazonas_State	2016-04-05
MK216696|Brazil_Amazonas_Manaus|Petropolis|2016-04-08	Brazil_Manaus_Amazonas_State	2016-04-08
MK216699|Brazil_Amazonas_Manaus|Japim|2016-05-16	Brazil_Manaus_Amazonas_State	2016-05-16
MK216698|Brazil_Amazonas_Manaus|Aleixo|2016-04-25	Brazil_Manaus_Amazonas_State	2016-04-25
MK216687|Brazil_Amazonas_Manaus|Colonia_Terra_Nova|2016-02-19	Brazil_Manaus_Amazonas_State	2016-02-19
MK216745|Brazil_Amazonas_Manaus|Bairro_da_Paz|2015-12-08	Brazil_Manaus_Amazonas_State	2015-12-08
MK216705|Brazil_Amazonas_Manaus|Aleixo|2016-04-05	Brazil_Manaus_Amazonas_State	2016-04-05
MK216704|Brazil_Amazonas_Manaus|Tancredo_Neves|2016-02-19	Brazil_Manaus_Amazonas_State	2016-02-19
MK216707|Brazil_Amazonas_Manaus|Sao_Lazaro|2016-02-29	Brazil_Manaus_Amazonas_State	2016-02-29
MK216706|Brazil_Amazonas_Manaus|Cidade_de_Deus|2016-03-01	Brazil_Manaus_Amazonas_State	2016-03-01
MK216709|Brazil_Amazonas_Manaus|Adrianopolis|2016-03-01	Brazil_Manaus_Amazonas_State	2016-03-01
MK216708|Brazil_Amazonas_Manaus|Santos_Dumont|2016-03-02	Brazil_Manaus_Amazonas_State	2016-03-02
MK216710|Brazil_Amazonas_Manaus|Coroado|2016-02-03	Brazil_Manaus_Amazonas_State	2016-02-03
MK216712|Brazil_Amazonas_Manaus|Cidade_Nova|2016-02-10	Brazil_Manaus_Amazonas_State	2016-02-10
MK216714|Brazil_Amazonas_Manaus|Nova_Esperanca|2016-01-29	Brazil_Manaus_Amazonas_State	2016-01-29
MK216713|Brazil_Amazonas_Manaus|Dom_Pedro|2016-01-08	Brazil_Manaus_Amazonas_State	2016-01-08
MK216715|Brazil_Amazonas_Manaus|Morro_da_Liberdade|2016-02-10	Brazil_Manaus_Amazonas_State	2016-02-10
MK216716|Brazil_Amazonas_Manaus|Petropolis|2016-02-02	Brazil_Manaus_Amazonas_State	2016-02-02
MK216717|Brazil_Amazonas_Manaus|Novo_Aleixo|2016-02-02	Brazil_Manaus_Amazonas_State	2016-02-02
MK216718|Brazil_Amazonas_Manaus|Sao_Jose|2016-02-10	Brazil_Manaus_Amazonas_State	2016-02-10
MK216720|Brazil_Amazonas_Manaus|Tancredo_Neves|2016-01-25	Brazil_Manaus_Amazonas_State	2016-01-25
MK216732|Brazil_Amazonas_Manaus|Aleixo|2016-02-02	Brazil_Manaus_Amazonas_State	2016-02-02
MK216721|Brazil_Amazonas_Manaus|Alvorada|2016-01-25	Brazil_Manaus_Amazonas_State	2016-01-25
MK216725|Brazil_Amazonas_Manaus|Dom_Pedro|2016-01-26	Brazil_Manaus_Amazonas_State	2016-01-26
MK216723|Brazil_Amazonas_Manaus|Sao_Jose|2016-01-14	Brazil_Manaus_Amazonas_State	2016-01-14
MK216722|Brazil_Amazonas_Manaus|Colonia_Terra_Nova|2016-01-20	Brazil_Manaus_Amazonas_State	2016-01-20
MK216729|Brazil_Amazonas_Manaus|Rio_Piorini|2015-12-16	Brazil_Manaus_Amazonas_State	2015-12-16
MK216726|Brazil_Amazonas_Manaus|Cidade_Nova|2016-01-25	Brazil_Manaus_Amazonas_State	2016-01-25
MK216728|Brazil_Amazonas_Manaus|Sao_Geraldo|2016-01-23	Brazil_Manaus_Amazonas_State	2016-01-23
MK216730|Brazil_Amazonas_Manaus|Dom_Pedro|2016-01-05	Brazil_Manaus_Amazonas_State	2016-01-05
MK216733|Brazil_Amazonas_Manaus|Novo_Israel|2016-02-01	Brazil_Manaus_Amazonas_State	2016-02-01
MK216691|Brazil_Amazonas_Manaus|Aleixo|2016-03-15	Brazil_Manaus_Amazonas_State	2016-03-15
MK216738|Brazil_Amazonas_Manaus|Nova_Esperanca_2|2017-03-24	Brazil_Manaus_Amazonas_State	2017-03-24
MK216736|Brazil_Amazonas_Manaus|Alvorada|2017-03-27	Brazil_Manaus_Amazonas_State	2017-03-27
MK216741|Brazil_Amazonas_Manaus|Cidade_Nova|2017-03-28	Brazil_Manaus_Amazonas_State	2017-03-28
MK216742|Brazil_Amazonas_Manaus|Compenca|2017-03-29	Brazil_Manaus_Amazonas_State	2017-03-29
MK216690|Brazil_Amazonas_Manaus|Cidade_de_Deus|2016-03-18	Brazil_Manaus_Amazonas_State	2016-03-18
KR872956|Brazil_Para|2015-01-01	Brazil_Para	2015-01-01
KU312312|Suriname|2015-10-02	Suriname	2015-10-02
KU321639|SPH2015|Brazil_Sao_Paulo_Sumare|2015-03-14	Brazil_Sao_Paulo_Sumare	2015-03-14
KU365777|BeH818995|Brazil_Para_Belem|2015-07-21	Brazil_Para_Belem	2015-07-21
KU365778|BeH819015|Brazil_Para_Belem|2015-07-23	Brazil_Para_Belem	2015-07-23
KU365779|BeH819966|Brazil_Para_Belem|2015-09-02	Brazil_Para_Belem	2015-09-02
KU365780|BeH815744|Brazil_Paraiba_Joao_Pessoa|2015-05-18	Brazil_Paraiba_Joao_Pessoa	2015-05-18
KU497555|Brazil-ZKV2015|Brazil_Paraiba_microcephaly|2015-11-30	Brazil_Paraiba	2015-11-30
KU501215|Puerto-Rico|2015-12-01	Puerto-Rico	2015-12-01
KU501216|Guatemala|2015-12-01	Guatemala	2015-12-01
KU501217|Guatemala|2015-11-01	Guatemala	2015-11-01
KU509998|Haiti|2014-12-12	Haiti	2014-12-12
KU527068|Natal_RGN|Brazil_Rio_Grande_do_Norte_Natal_microcephaly|2015-10-15	Brazil_Rio_Grande_do_Norte_Natal	2015-10-15
KU647676|Martinique|2015-12-01	Martinique	2015-12-01
KU707826|SSABR1|Brazil_Bahia_Salvador|2015-07-01	Brazil_Bahia_Salvador	2015-07-01
